price,title,rooms,area_m2,floor,total_floors,url,listing_id,floor_info,district,city,price_per_m2,is_first_floor,is_last_floor,room_type
150000000,4-комнатная квартира · 167.9 м² · 4/4 этаж,4,167.9,4.0,4.0,https://krisha.kz/a/show/1011530913,1011530913,"Бостандыкский р-н, Арайлы 20/1",Бостандыкский,Алматы,893389.0,0,1,4+ комн
273718800,3-комнатная квартира · 125.1 м²,3,125.1,,,https://krisha.kz/a/show/760760727,760760727,"Бостандыкский р-н, мкр Мирас, Саина 1а/1",Бостандыкский,Алматы,2188000.0,0,0,3-комн
59000000,3-комнатная квартира · 57 м² · 14/15 этаж,3,57.0,14.0,15.0,https://krisha.kz/a/show/1010258078,1010258078,"Бостандыкский р-н, Жандосова 94/8",Бостандыкский,Алматы,1035088.0,0,0,3-комн
39000000,1-комнатная квартира · 35 м² · 4/5 этаж,1,35.0,4.0,5.0,https://krisha.kz/a/show/1012500464,1012500464,"Бостандыкский р-н, Клочкова 137",Бостандыкский,Алматы,1114286.0,0,0,1-комн
58500000,3-комнатная квартира · 80.1 м² · 6/16 этаж,3,80.1,6.0,16.0,https://krisha.kz/a/show/1010793805,1010793805,"Бостандыкский р-н, Утепова 31",Бостандыкский,Алматы,730337.0,0,0,3-комн
42600000,2-комнатная квартира · 49.2 м² · 14/15 этаж,2,49.2,14.0,15.0,https://krisha.kz/a/show/1001574321,1001574321,"Бостандыкский р-н, Утепова 31А — Жандосова-Кекилбаева",Бостандыкский,Алматы,865854.0,0,0,2-комн
133000000,3-комнатная квартира · 95 м² · 3/9 этаж,3,95.0,3.0,9.0,https://krisha.kz/a/show/1010392289,1010392289,"Бостандыкский р-н, Габдуллина 14 — Габдуллина Байтурсынова",Бостандыкский,Алматы,1400000.0,0,0,3-комн
105000000,2-комнатная квартира · 108 м² · 12/13 этаж,2,108.0,12.0,13.0,https://krisha.kz/a/show/1008934186,1008934186,"Бостандыкский р-н, Маркова 61",Бостандыкский,Алматы,972222.0,0,0,2-комн
129000000,3-комнатная квартира · 115 м² · 14/16 этаж,3,115.0,14.0,16.0,https://krisha.kz/a/show/1010439026,1010439026,"Бостандыкский р-н, Егизбаева 5 — Каныша Сатпаева",Бостандыкский,Алматы,1121739.0,0,0,3-комн
65000000,3-комнатная квартира · 57.9 м² · 5/5 этаж,3,57.9,5.0,5.0,https://krisha.kz/a/show/1009843876,1009843876,"Бостандыкский р-н, мкр Казахфильм — Ул. Жолбарыс",Бостандыкский,Алматы,1122625.0,0,1,3-комн
35000000,2-комнатная квартира · 46 м² · 1/5 этаж,2,46.0,1.0,5.0,https://krisha.kz/a/show/1012510318,1012510318,"Бостандыкский р-н, мкр Алмагуль, Си-Синхая — ул. Жарокова",Бостандыкский,Алматы,760870.0,1,0,2-комн
43000000,2-комнатная квартира · 45 м² · 1 этаж,2,45.0,,,https://krisha.kz/a/show/1011861313,1011861313,"Бостандыкский р-н, мкр Баганашыл 138/5",Бостандыкский,Алматы,955556.0,0,0,2-комн
50500000,2-комнатная квартира · 59.6 м² · 7/9 этаж,2,59.6,7.0,9.0,https://krisha.kz/a/show/1001131232,1001131232,"Бостандыкский р-н, мкр Орбита-3, Мкр «Орбита-3»",Бостандыкский,Алматы,847315.0,0,0,2-комн
46000000,3-комнатная квартира · 67.2 м² · 3/5 этаж,3,67.2,3.0,5.0,https://krisha.kz/a/show/1012530475,1012530475,"Бостандыкский р-н, мкр Орбита-2 12 — Напротив Парка первого Президента",Бостандыкский,Алматы,684524.0,0,0,3-комн
52500000,3-комнатная квартира · 63 м² · 5/5 этаж,3,63.0,5.0,5.0,https://krisha.kz/a/show/1012626412,1012626412,"Бостандыкский р-н, Вахтангова 19 — Жандосова - Тимирязева",Бостандыкский,Алматы,833333.0,0,1,3-комн
57000000,2-комнатная квартира · 56 м² · 8/13 этаж,2,56.0,8.0,13.0,https://krisha.kz/a/show/1011193938,1011193938,"Бостандыкский р-н, Ергожина",Бостандыкский,Алматы,1017857.0,0,0,2-комн
77000000,3-комнатная квартира · 96 м² · 6/15 этаж,3,96.0,6.0,15.0,https://krisha.kz/a/show/693058222,693058222,"Бостандыкский р-н, Навои 70",Бостандыкский,Алматы,802083.0,0,0,3-комн
43000000,3-комнатная квартира · 56 м² · 5/5 этаж,3,56.0,5.0,5.0,https://krisha.kz/a/show/1007432018,1007432018,"Бостандыкский р-н, мкр Орбита-3 — Срочная продажа",Бостандыкский,Алматы,767857.0,0,1,3-комн
55000000,3-комнатная квартира · 82.3 м² · 10/16 этаж,3,82.3,10.0,16.0,https://krisha.kz/a/show/1007389662,1007389662,"Бостандыкский р-н, Жандосова",Бостандыкский,Алматы,668287.0,0,0,3-комн
132000000,3-комнатная квартира · 80 м² · 15/21 этаж,3,80.0,15.0,21.0,https://krisha.kz/a/show/1005008683,1005008683,"Бостандыкский р-н, Аль-Фараби 27/4 — Сейфуллина",Бостандыкский,Алматы,1650000.0,0,0,3-комн
35000000,1-комнатная квартира · 30 м² · 15/16 этаж,1,30.0,15.0,16.0,https://krisha.kz/a/show/1003610955,1003610955,"Бостандыкский р-н, Утепова 31",Бостандыкский,Алматы,1166667.0,0,0,1-комн
